Date,AADI.JK,ADMR.JK,ADRO.JK,AKRA.JK,AMMN.JK,AMRT.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BMRI.JK,BRPT.JK,BUMI.JK,CPIN.JK,CUAN.JK,DEWA.JK,EMTK.JK,ESSA.JK,EXCL.JK,GOTO.JK,HRTA.JK,ICBP.JK,INCO.JK,INDF.JK,INKP.JK,ISAT.JK,ITMG.JK,JPFA.JK,KLBF.JK,MAPI.JK,MBMA.JK,MDKA.JK,MEDC.JK,PGAS.JK,PGEO.JK,PTBA.JK,SCMA.JK,SMGR.JK,TLKM.JK,TOWR.JK,UNTR.JK,UNVR.JK,WIFI.JK
2023-03-15,,969.331787109375,1040.29150390625,1056.634521484375,,2760.429443359375,1565.7969970703125,4104.13330078125,7295.1904296875,3400.668212890625,3519.656494140625,1028.7181396484375,3720.966552734375,761.48583984375,125.0,4771.3359375,82.5,50.0,721.04736328125,912.775390625,1655.3568115234375,121.0,269.8497314453125,8783.2060546875,5978.8955078125,5443.49169921875,7024.77783203125,1583.171142578125,22052.03125,959.6998291015625,1946.1337890625,1516.4049072265625,,3990.0,830.4752197265625,1041.06201171875,703.3636474609375,2057.83203125,146.09524536132812,5594.693359375,3361.697998046875,843.25537109375,17107.166015625,3543.48583984375,132.03375244140625
2023-03-16,,1001.7974853515625,998.6798706054688,1022.671142578125,,2712.001220703125,1515.1512451171875,4157.43359375,7273.2822265625,3458.634033203125,3542.122314453125,1033.095703125,3646.91796875,756.5088500976562,117.0,4580.48291015625,77.0,50.0,697.9368286132812,898.8043212890625,1629.2197265625,117.0,275.2467041015625,8853.8486328125,5978.8955078125,5488.11083984375,6682.10595703125,1571.86279296875,21644.740234375,897.3817138671875,2002.54345703125,1570.386962890625,,3850.0,772.43115234375,1000.4530029296875,685.9966430664062,1971.4139404296875,144.5072784423828,5436.1396484375,3395.231201171875,834.0895385742188,16903.134765625,3517.558349609375,133.0264892578125
2023-03-17,,1071.3668212890625,1051.6402587890625,1045.3133544921875,,2770.115234375,1599.5609130859375,4157.43359375,7339.00439453125,3487.616943359375,3669.42919921875,1081.24853515625,3739.47900390625,766.462890625,123.0,4742.7080078125,72.0,50.0,697.9368286132812,884.833251953125,1698.9188232421875,116.0,318.42266845703125,8995.1328125,6173.33154296875,5465.80126953125,6731.05859375,1583.171142578125,22837.52734375,934.7726440429688,2087.157958984375,1570.386962890625,,3890.0,817.0804443359375,1026.2950439453125,699.0218505859375,2095.639892578125,142.91928100585938,5526.74169921875,3395.231201171875,838.6724853515625,17860.5078125,3595.341796875,135.011962890625
2023-03-20,,1015.7113037109375,1028.9427490234375,1060.4080810546875,,2760.429443359375,1603.7813720703125,4175.20068359375,7360.91259765625,3477.9560546875,3654.451904296875,1050.605712890625,3702.45458984375,766.462890625,119.0,4694.99462890625,67.0,50.0,674.826416015625,875.519287109375,1655.3568115234375,108.0,349.00567626953125,9065.775390625,6197.6357421875,5532.7294921875,6975.82470703125,1543.5919189453125,22226.587890625,922.3089599609375,2040.1500244140625,1496.775146484375,,3890.0,767.9663696289062,985.686279296875,694.6801147460938,2068.634033203125,140.5372772216797,5504.09130859375,3344.931640625,829.5066528320312,17389.66796875,3595.341796875,141.96112060546875
2023-03-21,,1057.4530029296875,1032.7257080078125,1075.5028076171875,,2808.8583984375,1591.119873046875,4175.20068359375,7448.5419921875,3564.905029296875,3669.42919921875,1063.7384033203125,3887.5771484375,791.3480224609375,120.0,4742.7080078125,76.0,50.0,684.070556640625,875.519287109375,1786.0428466796875,110.0,325.61865234375,9136.41796875,6173.33154296875,5465.80126953125,7245.06689453125,1554.900146484375,22313.865234375,909.8452758789062,2077.75634765625,1467.3304443359375,,3900.0,781.361083984375,996.7613525390625,694.6801147460938,2025.42529296875,145.30125427246094,5662.64501953125,3453.91455078125,834.0895385742188,17248.41796875,3629.912353515625,139.9756317138672
2023-03-24,,1020.3493041992188,1013.8113403320312,1162.2979736328125,,2837.91552734375,1599.5609130859375,4228.50146484375,7733.34033203125,3719.480712890625,3748.984375,1120.646240234375,4035.675537109375,816.2332153320312,121.0,4890.619140625,71.0,50.0,697.9368286132812,903.4613647460938,1742.48095703125,115.0,325.61865234375,9395.439453125,6246.24462890625,5644.2763671875,7196.1142578125,1594.4794921875,22342.953125,943.0816040039062,2002.54345703125,1486.960205078125,,3960.0,812.615478515625,1004.144775390625,690.33837890625,2003.820556640625,151.65322875976562,5707.9462890625,3411.998046875,820.3408813476562,17373.97265625,3690.411376953125,139.9756317138672
2023-03-27,,1071.3668212890625,1013.8113403320312,1162.2979736328125,,2808.8583984375,1654.427001953125,4175.20068359375,7623.80224609375,3671.17578125,3725.405517578125,1107.513671875,3969.262451171875,796.3250732421875,129.0,4771.3359375,71.0,50.0,684.070556640625,898.8043212890625,1733.7684326171875,115.0,325.61865234375,9395.439453125,6246.24462890625,5688.89501953125,7245.06689453125,1583.171142578125,22401.140625,963.8543701171875,1974.338623046875,1472.2379150390625,,3940.0,817.0804443359375,1015.2198486328125,642.5791015625,1998.4195556640625,146.09524536132812,5662.64501953125,3395.231201171875,834.0895385742188,17452.4453125,3707.6962890625,139.9756317138672
2023-03-28,,1136.2979736328125,1047.857177734375,1162.2979736328125,,2886.34423828125,1683.9703369140625,4157.43359375,7601.8955078125,3638.032470703125,3748.984375,1103.1361083984375,3940.077392578125,796.3250732421875,137.0,4842.90625,75.5,50.0,739.5357055664062,918.3435668945312,1786.0428466796875,118.0,320.2216796875,9513.177734375,6343.462890625,5688.89501953125,7440.8798828125,1571.86279296875,23113.904296875,972.1634521484375,2021.346435546875,1570.386962890625,,4020.0,834.9401245117188,1022.6033935546875,603.50341796875,2057.83203125,153.2412109375,5775.8984375,3395.231201171875,852.4212036132812,17938.98046875,3716.338623046875,147.91751098632812
2023-03-29,,1145.573974609375,1089.4688720703125,1218.9034423828125,,2857.287109375,1755.718505859375,4228.50146484375,7865.5703125,3708.576171875,3780.421875,1124.348388671875,4027.63427734375,801.3020629882812,133.0,4866.7626953125,73.5,50.0,748.7799682617188,923.2283325195312,1777.33056640625,116.0,318.42266845703125,9395.439453125,6416.3759765625,5666.5859375,7465.3564453125,1566.2086181640625,23739.392578125,959.6998291015625,2068.35498046875,1594.92431640625,,4130.0,866.1945190429688,1037.3702392578125,616.5286254882812,2111.84326171875,151.65322875976562,5775.8984375,3437.147705078125,870.7528076171875,18284.263671875,3768.195068359375,170.75042724609375
2023-03-30,,1108.4703369140625,1085.6861572265625,1188.7137451171875,,2779.801025390625,1764.159423828125,4192.9677734375,7887.916015625,3769.042236328125,3733.265380859375,1124.348388671875,3978.991455078125,811.256103515625,126.0,4842.90625,74.0,50.0,721.04736328125,923.2283325195312,1759.90576171875,112.0,336.41265869140625,9301.25,6440.6806640625,5711.205078125,7489.8330078125,1577.516845703125,22793.888671875,955.5453491210938,2040.1500244140625,1511.4974365234375,,4140.0,875.1243286132812,1029.98681640625,612.1869506835938,2090.23876953125,149.271240234375,5775.8984375,3428.764404296875,843.25537109375,18190.09765625,3681.76806640625,164.79400634765625
2023-03-31,,1196.591552734375,1097.03466796875,1169.8453369140625,,2789.487060546875,1764.159423828125,4264.03466796875,7820.87890625,3769.042236328125,3717.546142578125,1110.7474365234375,4017.90576171875,821.210205078125,127.0,4761.79345703125,81.5,50.0,730.2915649414062,923.2283325195312,1725.0560302734375,109.0,332.8146667480469,9395.439453125,6464.98486328125,5532.7294921875,7342.9736328125,1571.86279296875,22924.8046875,934.7726440429688,1974.338623046875,1482.052734375,,4190.0,901.9138793945312,1018.91162109375,603.50341796875,2155.05224609375,149.271240234375,5707.9462890625,3403.614501953125,847.8383178710938,18268.568359375,3759.552001953125,164.79400634765625
2023-04-03,,1145.573974609375,1112.166259765625,1173.6190185546875,,2828.22998046875,1764.159423828125,4264.03466796875,7865.5703125,3769.042236328125,3772.562255859375,1110.7474365234375,4095.734619140625,811.256103515625,131.0,4599.56787109375,81.0,50.0,734.9136962890625,937.8827514648438,1751.1932373046875,110.0,336.41265869140625,9395.439453125,6586.5068359375,5510.42041015625,7318.4970703125,1543.5919189453125,23215.73046875,934.7726440429688,1955.5355224609375,1423.1632080078125,,4100.0,955.4929809570312,1000.4530029296875,568.7693481445312,2182.05810546875,148.4772491455078,5753.24755859375,3420.381103515625,884.5015258789062,18111.623046875,3707.6962890625,175.71409606933594
2023-04-04,,1131.66015625,1153.77783203125,1181.166259765625,,2779.801025390625,1730.3956298828125,4281.80126953125,7843.224609375,3769.042236328125,3788.28173828125,1101.6800537109375,4047.091552734375,786.3710327148438,131.0,4494.5986328125,89.5,50.0,762.646240234375,918.3435668945312,1729.412353515625,110.0,334.6136474609375,9607.3671875,6562.20263671875,5666.5859375,7294.0205078125,1543.5919189453125,23579.384765625,930.6180419921875,1974.338623046875,1374.088623046875,,4190.0,982.2824096679688,1037.3702392578125,573.1111450195312,2214.46484375,148.4772491455078,5775.8984375,3403.614501953125,866.169921875,18598.15625,3707.6962890625,174.7213592529297
